"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","PROJECT__C","DESCRIPTION__C","CATEGORY__C","PROJECT_BUDGET_EXTERNAL_ID__C","COSTS__C"
"a00J0000004kVaAIAU","false","PB-012389","2013-07-08T07:30:44.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEvxIAH","20 onderhoudssetjes à 5,- euro per stuk","","18696","100.0"
"a00J0000004kVaBIAU","false","PB-012632","2013-07-08T07:34:18.000Z","005J00000018K40IAE","2013-07-29T12:50:19.000Z","005J00000018K40IAE","2013-07-29T12:50:19.000Z","a01J000000VNF0TIAX","aanschaf lesmaterialen voor theorieonderwijs en praktijkonderwijs","","13487","3500.0"
"a00J0000004kVaCIAU","false","PB-012678","2013-07-08T07:42:51.000Z","005J00000018K40IAE","2013-07-29T12:50:19.000Z","005J00000018K40IAE","2013-07-29T12:50:19.000Z","a01J000000VNF0KIAX","1x € 3500,- = € 3500,-","","6227","3500.0"
"a00J0000004kVaDIAU","false","PB-012696","2013-07-08T07:43:05.000Z","005J00000018K40IAE","2013-07-29T12:50:19.000Z","005J00000018K40IAE","2013-07-29T12:50:19.000Z","a01J000000VNEu8IAH","Venue rental: 3 x 65.000 Fcfa = 195.000 Fcfa (3 x 100 € = 300 €)

Expert consultancies: 3 x 65.000 Fcfa = 195.000 Fcfa (3 x 100 € = 300 €)

Trainees pack: 50 x 1.950 Fcfa = 97.500 Fcfa (50 x 3 € = 150 €)

Meals and refreshment: 50 x 5.850 Fcfa = 292","","7203","1209.0"
"a00J0000004kVaEIAU","false","PB-012236","2013-07-08T07:28:31.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFpPIAX","Vervoer, eten & drinken, entreegelden en tekenmateriaal.","","9031","3000.0"
"a00J0000004kVaFIAU","false","PB-012260","2013-07-08T07:28:50.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEz3IAH","Met het budget zal onze partner lokaal fietsambulances kunnen laten maken en uitgeven bij verschillende health centers.","","91","1973.51"
"a00J0000004kVaGIAU","false","PB-012330","2013-07-08T07:29:47.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNF7FIAX","Voor waterputten, training over gezondheid en sanitatie en irrigatiesystemen.","","243","4250.0"
"a00J0000004kVaHIAU","false","PB-012359","2013-07-08T07:30:11.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEtuIAH","","","326","15.0"
"a00J0000004kVaIIAU","false","PB-012371","2013-07-08T07:30:28.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFAUIA5","Tables x 5 @ 37,03","","36749","185.0"
"a00J0000004kVaJIAU","false","PB-012237","2013-07-08T07:28:31.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYEIA5","stoelen 130 * 7,50","","8193","975.0"
"a00J0000004kVaKIAU","false","PB-012266","2013-07-08T07:28:55.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFY1IAP","Kumnandi Marketing Support
Labels for jams and dried fruits (1000x)","","30043","200.0"
"a00J0000004kVaLIAU","false","PB-012464","2013-07-08T07:31:50.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFpfIAH","Onvoorziene kosten 3.000 lempira = 107,47 euro","","1082","107.0"
"a00J0000004kVaOIAU","false","PB-012238","2013-07-08T07:28:32.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYEIA5","tafels 65 * 25","","8194","1625.0"
"a00J0000004kVaPIAU","false","PB-012383","2013-07-08T07:30:40.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFmGIAX","100 maal tenues en sieraden","","21814","2000.0"
"a00J0000004kVaTIAU","false","PB-012239","2013-07-08T07:28:33.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYEIA5","schoolborden 4 * 50","","8195","200.0"
"a00J0000004kVaYIAU","false","PB-012240","2013-07-08T07:28:34.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYEIA5","onderwijzersbureau 4 * 100","","8196","400.0"
